"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"404","green","green","green","green","green","green","green","green","green","red"
"405","green","green","green","green","green","red","red","red","green","red"
"406","red","red","green","red","green","green","green","green","red","green"
"407","green","red","green","green","green","green","red","green","green","green"
"408","green","green","green","green","green","red","red","red","red","green"
"409","green","green","green","green","red","red","red","red","red","green"
"410","red","green","green","green","green","green","green","green","green","green"
"411","green","green","red","green","red","red","red","red","green","red"
"412","red","green","green","green","red","red","red","green","red","red"
"413","green","green","green","red","red","red","red","green","green","green"
"414","green","red","green","green","green","green","green","green","red","green"
"415","green","red","green","red","green","green","green","red","red","red"
"416","red","red","red","red","green","red","red","red","red","red"
"417","red","red","red","red","red","red","green","green","red","green"
"418","red","red","green","red","green","green","green","green","green","red"
"419","green","green","red","green","green","green","green","green","green","green"
"420","green","green","green","red","green","green","green","green","green","red"
"421","red","red","green","green","red","green","green","green","red","red"
"422","red","red","red","green","red","red","red","green","green","red"
"423","green","green","green","red","green","green","green","green","green","red"
"424","red","red","green","red","red","red","green","red","green","green"
"425","green","green","red","green","green","green","green","green","green","green"
"426","green","green","red","red","green","green","green","red","red","green"
"427","green","green","red","red","red","green","green","red","green","green"
"428","red","red","green","red","red","green","green","red","red","red"
"429","green","green","green","green","green","green","green","red","red","green"
"430","red","green","green","green","green","green","green","green","green","red"
"431","green","green","red","red","red","red","red","red","green","green"
"432","red","green","green","red","green","red","red","red","green","red"
"433","red","red","red","red","red","green","green","green","green","red"
"434","green","red","green","green","red","red","red","red","red","red"
"435","green","green","red","red","red","red","red","green","red","green"
"436","red","green","red","red","red","red","red","red","red","red"
"437","green","green","green","red","green","green","green","green","red","red"
"438","red","green","red","green","green","red","red","green","red","green"
"439","green","red","green","red","green","red","red","red","red","red"
"440","red","red","green","red","green","green","green","green","red","green"
"441","green","red","red","red","green","red","red","red","green","green"
"442","green","green","green","green","green","green","green","red","green","green"
"443","red","red","red","red","red","green","green","red","red","green"
"444","red","red","green","green","green","red","red","green","green","red"
"445","green","green","green","red","green","green","green","green","red","red"
"446","green","green","green","red","red","red","red","red","green","red"
"447","red","red","red","red","green","green","red","red","green","green"
"448","green","green","red","red","red","red","red","red","green","red"
"449","green","green","red","red","red","red","green","red","green","green"
"450","green","green","red","green","green","green","green","red","red","red"
"451","red","green","red","green","red","red","green","red","red","green"
"452","green","green","green","red","red","red","red","red","red","green"
"453","red","red","green","green","red","green","green","green","green","green"
"454","green","green","green","green","green","green","green","green","green","green"
"455","red","green","green","green","green","green","red","green","red","green"
"456","green","green","red","red","green","green","green","green","green","green"
"457","green","red","red","green","green","red","red","green","green","green"
"458","green","red","red","green","red","green","red","red","red","green"
"459","green","green","red","green","green","red","red","green","green","red"
"460","green","green","red","green","red","red","green","green","red","green"
"461","green","green","green","green","red","green","green","green","green","green"
"462","red","red","red","green","red","green","red","red","red","red"
"463","green","green","green","green","green","green","green","green","green","green"
"464","green","green","green","green","green","green","green","red","red","red"
"465","green","green","red","green","green","red","red","red","green","green"
"466","green","green","green","red","red","red","green","red","red","red"
"467","red","red","red","green","green","red","red","green","green","red"
"468","red","red","green","green","green","red","red","green","red","green"
"469","red","red","green","red","green","red","red","green","green","green"
"470","green","green","red","green","green","green","green","green","green","red"
"471","green","green","green","red","red","green","green","green","green","red"
"472","red","red","green","red","red","red","red","green","red","green"
"473","green","red","green","green","green","green","green","green","green","green"
"474","red","red","red","green","green","green","green","green","green","red"
"475","green","green","green","green","red","red","red","red","red","green"
"476","red","red","red","green","red","red","red","green","green","red"
"477","red","red","green","green","red","red","red","red","red","red"
"478","red","green","green","green","green","green","green","green","green","green"
"479","green","green","red","red","red","red","red","red","red","red"
"480","green","green","green","green","green","green","green","red","green","red"
"481","green","green","green","red","red","green","red","red","green","green"
"482","red","red","red","red","red","green","green","green","green","green"
"483","red","red","green","green","green","green","green","red","green","green"
"484","red","red","green","green","red","red","red","green","red","red"
"485","green","green","green","green","green","green","green","green","green","green"
"486","red","red","red","red","red","green","red","red","green","green"
"487","green","green","green","green","green","green","green","green","green","red"
"488","green","green","green","red","red","red","green","green","green","green"
"489","green","green","red","green","green","green","green","green","red","red"
"490","green","green","red","red","green","green","green","red","green","red"
"491","green","red","red","red","red","red","red","red","green","green"
"492","green","red","green","green","red","red","red","green","red","green"
"493","red","green","green","green","green","red","red","red","red","green"
"494","green","green","green","red","red","red","red","red","green","green"
"495","green","green","green","green","green","green","red","red","red","red"
"496","red","red","green","red","green","green","green","green","red","green"
"497","red","red","green","red","green","red","red","green","red","red"
"498","green","red","green","green","green","red","red","red","red","red"
"499","red","red","green","green","green","green","red","green","green","green"
"500","red","green","red","green","red","red","red","green","green","green"
