"","X1","X2","X3","X4","X5"
"232","green","green","green","green","green"
"233","green","red","green","green","green"
"234","red","green","red","green","green"
"235","green","red","green","red","green"
"236","red","green","green","green","green"
"237","red","green","green","green","green"
"238","green","green","green","red","green"
"239","red","green","green","green","green"
"240","red","green","green","green","green"
"241","green","green","green","green","green"
"242","green","green","red","red","red"
"243","red","green","green","green","green"
"244","red","green","red","green","green"
"245","green","red","green","red","green"
"246","red","red","red","red","red"
"247","green","green","green","green","green"
"248","red","red","green","red","red"
"249","green","red","red","green","red"
"250","red","green","green","green","green"
"251","green","red","green","green","green"
"252","green","red","red","red","red"
"253","green","green","red","green","red"
"254","green","red","red","red","red"
"255","red","green","red","red","red"
"256","red","green","red","green","red"
"257","red","red","red","red","green"
"258","green","green","red","green","red"
"259","green","green","green","green","green"
"260","red","red","red","red","red"
"261","red","green","red","red","green"
"262","red","red","red","red","red"
"263","red","green","green","green","green"
"264","green","red","red","red","red"
"265","red","red","red","green","red"
"266","red","green","green","red","green"
"267","red","red","green","green","green"
"268","red","green","red","red","red"
"269","green","red","green","red","green"
"270","green","green","green","green","green"
"271","green","green","red","red","red"
"272","red","green","green","green","green"
"273","green","red","green","green","red"
"274","green","red","red","red","red"
"275","red","green","green","green","green"
"276","red","green","green","green","green"
"277","green","green","red","red","green"
"278","red","red","red","green","green"
"279","green","green","red","red","red"
"280","green","green","green","green","red"
"281","green","green","green","green","green"
"282","green","red","green","red","red"
"283","green","red","green","green","red"
"284","green","green","red","red","green"
"285","red","red","red","red","red"
"286","green","red","red","red","red"
"287","green","red","red","green","green"
"288","red","red","green","red","green"
"289","green","green","red","red","red"
"290","red","red","red","red","red"
"291","green","green","green","green","green"
"292","red","green","red","green","red"
"293","red","red","red","green","red"
"294","red","green","red","green","green"
"295","green","red","green","green","green"
"296","red","green","green","red","red"
"297","red","green","green","green","green"
"298","green","red","red","green","green"
"299","red","green","green","red","red"
"300","green","red","green","green","green"
"301","green","red","red","green","red"
"302","green","green","red","red","green"
"303","green","green","green","green","red"
"304","green","green","red","green","green"
"305","red","green","green","green","green"
"306","green","green","green","red","red"
"307","green","green","green","green","green"
"308","green","green","green","green","green"
"309","green","green","green","green","red"
"310","green","red","red","red","red"
"311","red","green","green","red","red"
"312","red","red","red","red","red"
"313","red","green","green","green","green"
"314","red","green","green","green","green"
"315","red","red","green","green","red"
"316","green","green","green","green","green"
"317","green","green","green","green","red"
"318","green","red","red","red","green"
"319","red","green","red","green","red"
"320","red","green","green","green","red"
"321","red","red","red","red","red"
"322","green","red","green","green","green"
"323","green","red","red","green","green"
"324","red","red","red","red","red"
"325","green","red","red","green","green"
"326","red","red","red","red","red"
"327","red","red","red","red","red"
"328","green","green","red","red","red"
"329","red","red","red","red","red"
"330","green","red","green","red","red"
"331","green","green","red","red","red"
"332","green","green","green","green","green"
"333","green","green","green","green","green"
"334","green","green","green","green","green"
"335","green","green","green","green","green"
"336","red","green","green","green","red"
"337","red","red","green","green","green"
"338","green","green","green","green","green"
"339","green","red","red","green","red"
"340","red","green","green","red","green"
"341","red","green","red","green","green"
"342","red","red","red","red","red"
"343","green","green","green","green","green"
"344","red","green","green","green","green"
"345","red","green","green","red","green"
"346","green","red","green","green","green"
"347","green","green","green","green","green"
"348","red","red","green","red","red"
"349","red","red","red","red","red"
"350","green","green","red","green","red"
"351","green","green","green","red","red"
"352","red","green","green","green","red"
"353","green","green","green","green","green"
"354","green","red","red","red","green"
"355","green","green","red","red","red"
"356","green","green","red","red","green"
"357","green","red","green","green","green"
"358","green","red","red","green","green"
"359","green","red","red","red","red"
"360","green","green","red","red","red"
"361","red","green","red","red","green"
"362","red","green","green","green","green"
"363","green","green","green","red","green"
"364","red","red","red","red","red"
"365","green","red","red","green","green"
"366","red","red","green","red","green"
"367","red","red","red","green","red"
"368","green","green","green","green","green"
"369","red","red","green","green","green"
"370","red","red","red","red","red"
"371","green","red","red","green","green"
"372","red","green","green","green","green"
"373","red","red","green","red","red"
"374","green","red","green","red","green"
"375","green","green","red","red","red"
"376","red","red","red","red","green"
"377","red","red","green","green","green"
"378","red","green","red","red","red"
"379","green","green","green","green","green"
"380","red","green","green","green","green"
"381","green","red","red","green","red"
"382","red","green","green","green","green"
"383","red","green","green","green","green"
"384","red","red","red","green","red"
"385","green","red","red","red","red"
"386","red","red","red","green","green"
"387","red","green","green","green","green"
"388","red","green","green","green","green"
"389","green","red","green","green","red"
"390","red","green","green","red","green"
"391","green","red","red","green","red"
"392","green","green","green","green","green"
"393","red","green","red","green","red"
"394","red","green","green","green","red"
"395","green","red","green","green","green"
"396","red","green","green","green","green"
"397","green","red","red","red","red"
"398","red","red","green","green","green"
"399","red","red","red","red","green"
"400","green","green","red","green","green"
"401","green","green","green","red","red"
"402","green","green","green","green","green"
"403","green","red","red","red","green"
"404","green","red","green","red","green"
"405","green","green","red","green","red"
"406","green","red","red","red","green"
"407","red","red","red","red","red"
"408","green","red","red","green","red"
"409","red","green","red","red","green"
"410","green","red","green","red","red"
"411","green","green","green","green","green"
"412","green","green","red","red","red"
"413","red","green","red","green","red"
"414","green","green","red","green","red"
"415","green","green","red","red","green"
"416","green","green","red","green","green"
"417","red","green","green","red","red"
"418","red","red","red","red","red"
"419","red","red","red","red","green"
"420","red","green","green","green","green"
"421","red","red","red","green","red"
"422","green","green","green","green","green"
"423","red","red","red","red","red"
"424","red","green","red","red","red"
"425","green","green","red","green","red"
"426","green","green","green","green","green"
"427","red","red","green","red","red"
"428","red","red","red","red","red"
"429","green","red","green","green","green"
"430","red","red","red","red","red"
"431","green","green","green","green","green"
"432","green","green","green","green","green"
"433","green","green","green","green","green"
"434","green","red","red","red","green"
"435","red","green","green","red","red"
"436","green","red","green","green","red"
"437","red","red","red","red","green"
"438","red","green","green","green","green"
"439","green","red","green","red","green"
"440","green","red","green","green","green"
"441","green","green","green","green","red"
"442","red","red","green","red","green"
"443","green","green","green","green","green"
"444","green","red","green","red","red"
"445","green","red","red","red","red"
"446","green","red","red","green","green"
"447","red","green","green","red","red"
"448","red","red","green","green","green"
"449","red","green","green","green","green"
"450","red","green","green","green","green"
"451","red","red","green","green","green"
"452","red","green","red","green","red"
"453","red","green","green","green","green"
"454","green","green","green","green","red"
"455","red","green","green","green","green"
"456","green","red","green","red","red"
"457","green","red","red","red","green"
"458","red","red","red","red","green"
"459","red","green","red","green","red"
"460","green","red","green","red","red"
"461","green","green","green","green","green"
"462","green","green","green","green","green"
"463","green","green","red","red","red"
"464","green","red","green","green","green"
"465","red","red","red","green","green"
"466","green","green","green","green","red"
"467","green","green","green","red","red"
"468","green","red","green","red","red"
"469","green","green","red","green","red"
"470","green","green","green","green","green"
"471","green","red","green","red","red"
"472","green","green","green","green","green"
"473","red","green","green","red","green"
"474","green","green","red","red","green"
"475","red","red","red","green","green"
"476","red","green","green","green","green"
"477","green","green","red","green","red"
"478","green","red","red","red","green"
"479","red","red","green","green","green"
"480","green","red","green","green","red"
"481","green","green","red","red","red"
"482","red","green","green","green","green"
"483","red","red","red","red","green"
"484","green","red","red","red","red"
"485","red","green","red","red","green"
"486","green","red","green","red","red"
"487","red","green","green","green","green"
"488","green","green","green","green","green"
"489","green","red","red","red","red"
"490","red","red","red","red","red"
"491","red","green","green","green","green"
"492","red","red","red","red","red"
"493","red","red","red","green","green"
"494","green","green","green","green","green"
"495","green","green","green","green","green"
"496","green","red","red","green","green"
"497","red","red","green","green","green"
"498","red","red","green","green","red"
"499","red","green","red","green","red"
"500","green","red","red","red","red"
"501","green","red","green","green","green"
"502","red","green","red","red","green"
"503","green","red","red","green","green"
"504","green","green","red","red","green"
"505","red","red","green","green","green"
"506","red","red","green","red","red"
"507","red","green","green","green","green"
"508","green","green","green","green","green"
"509","green","green","green","green","green"
"510","red","green","red","red","red"
"511","red","green","green","green","green"
"512","red","green","red","red","red"
"513","red","green","green","green","green"
"514","red","green","red","green","red"
"515","red","red","red","red","red"
"516","red","green","green","green","green"
"517","red","red","red","red","green"
"518","green","red","green","green","green"
"519","green","red","green","red","red"
"520","green","green","green","green","green"
"521","red","green","green","green","green"
"522","green","red","green","red","green"
"523","green","green","green","green","green"
"524","red","red","red","green","green"
"525","green","green","green","green","green"
"526","green","green","green","green","green"
"527","green","green","green","green","green"
"528","green","green","red","green","red"
"529","red","red","green","green","green"
"530","red","green","green","green","red"
"531","red","red","red","red","green"
"532","green","green","green","red","red"
"533","red","red","red","red","green"
"534","red","red","green","red","red"
"535","green","green","green","green","green"
"536","green","red","green","green","red"
"537","green","green","green","green","red"
"538","red","red","green","green","green"
"539","red","red","green","green","red"
"540","red","green","green","red","red"
"541","red","red","red","green","green"
"542","red","red","red","green","red"
"543","green","green","green","red","red"
"544","green","green","red","red","red"
"545","green","green","green","green","green"
"546","red","green","green","green","green"
"547","red","green","green","green","green"
"548","green","red","red","red","red"
"549","green","green","green","green","green"
"550","green","red","red","red","red"
"551","green","red","red","green","red"
"552","green","red","red","red","red"
"553","green","red","green","green","green"
"554","green","green","red","green","red"
"555","red","green","green","green","green"
"556","red","red","green","red","red"
"557","red","green","green","green","green"
"558","green","red","red","green","red"
"559","red","green","green","green","green"
"560","red","red","red","red","red"
"561","green","red","red","red","red"
"562","red","green","red","red","red"
"563","red","red","red","red","red"
"564","red","green","green","red","green"
"565","red","green","green","green","green"
"566","green","red","green","green","green"
"567","green","green","green","green","green"
"568","red","red","green","green","green"
"569","red","red","red","red","red"
"570","red","green","green","red","green"
"571","green","green","green","green","green"
"572","green","red","green","red","green"
"573","green","red","red","green","green"
"574","green","green","green","green","green"
"575","red","red","green","red","green"
"576","red","red","green","green","green"
"577","red","red","green","green","green"
"578","green","green","red","red","green"
"579","green","red","green","green","green"
"580","green","red","green","green","green"
"581","red","green","green","green","green"
"582","red","red","green","green","red"
"583","red","green","red","red","red"
"584","green","red","green","green","red"
"585","red","green","green","green","green"
"586","green","green","green","green","green"
"587","red","red","green","green","green"
"588","green","red","green","green","green"
"589","red","green","green","green","green"
"590","green","red","red","red","red"
"591","green","green","red","green","green"
"592","green","red","green","green","green"
"593","green","red","green","red","green"
"594","green","green","green","green","green"
"595","red","red","green","green","green"
"596","green","green","green","green","green"
"597","red","green","green","green","red"
"598","red","red","red","green","green"
"599","red","red","red","red","green"
"600","red","green","green","green","green"
"601","red","red","red","red","red"
"602","red","red","green","green","green"
"603","green","green","green","red","red"
"604","red","green","green","green","green"
"605","green","red","green","green","green"
"606","green","red","red","red","red"
"607","green","green","red","green","green"
"608","red","green","green","green","green"
"609","red","green","green","green","green"
"610","green","green","green","green","green"
"611","red","green","green","red","red"
"612","red","green","red","red","green"
"613","green","red","red","red","red"
"614","green","green","red","red","red"
"615","red","green","green","green","green"
"616","red","green","red","red","red"
"617","red","red","green","green","green"
"618","green","red","green","red","red"
"619","green","green","green","green","green"
"620","green","red","red","red","green"
"621","green","red","green","green","green"
"622","green","red","red","red","red"
"623","green","red","green","red","red"
"624","green","green","green","green","green"
"625","green","red","red","red","red"
"626","green","green","red","green","green"
"627","green","red","red","green","red"
"628","green","green","red","green","green"
"629","red","red","green","red","red"
"630","green","red","red","red","green"
"631","green","green","green","red","red"
"632","green","green","green","green","green"
"633","red","red","green","red","red"
"634","red","red","red","red","red"
"635","red","red","green","red","green"
"636","green","red","green","red","red"
"637","red","red","red","green","green"
"638","red","red","green","green","red"
"639","red","green","green","red","red"
"640","green","red","green","green","green"
"641","green","green","green","green","green"
"642","red","red","red","red","red"
"643","red","red","red","green","red"
"644","red","red","green","green","green"
"645","red","red","red","red","green"
"646","green","green","green","green","green"
"647","green","green","green","green","green"
"648","green","green","green","green","green"
"649","green","green","green","green","green"
"650","green","red","green","green","green"
"651","red","red","red","green","red"
"652","green","green","green","green","red"
"653","green","green","red","red","red"
"654","red","green","red","red","red"
"655","green","red","green","red","green"
"656","red","red","green","red","red"
"657","red","green","green","green","red"
"658","red","green","green","green","green"
"659","green","red","green","green","green"
"660","red","green","red","green","green"
"661","green","red","green","green","green"
"662","red","green","green","green","green"
"663","red","red","green","red","red"
"664","green","green","green","green","green"
"665","green","green","green","green","green"
"666","red","red","red","red","red"
"667","green","green","green","green","green"
"668","red","green","red","green","red"
"669","red","green","green","green","green"
"670","green","red","green","green","green"
"671","green","green","green","green","green"
"672","green","green","green","green","green"
"673","green","red","red","green","red"
"674","red","red","red","red","green"
"675","red","red","red","red","red"
"676","green","red","red","red","green"
"677","green","green","red","red","red"
"678","green","green","green","green","green"
"679","red","green","green","green","red"
"680","green","red","green","green","green"
"681","red","red","red","red","green"
"682","green","red","red","red","green"
"683","green","green","green","green","green"
"684","green","green","green","green","green"
"685","red","red","green","green","green"
"686","green","green","green","green","green"
"687","red","red","red","red","red"
"688","red","green","green","green","green"
"689","green","red","red","red","green"
"690","green","red","red","red","red"
"691","green","red","red","green","green"
"692","green","green","red","red","green"
"693","red","red","green","green","green"
"694","red","red","red","red","green"
"695","red","green","red","green","red"
"696","green","red","red","red","red"
"697","green","green","green","red","green"
"698","red","red","red","green","red"
"699","green","red","red","red","red"
"700","green","green","red","green","green"
"701","green","red","red","green","green"
"702","red","green","red","green","green"
"703","red","green","red","red","red"
"704","green","green","red","red","red"
"705","green","red","red","red","red"
"706","green","red","red","green","green"
"707","green","red","red","red","red"
"708","green","green","green","green","green"
"709","red","green","green","red","red"
"710","green","green","red","red","red"
"711","red","green","red","green","red"
"712","red","red","red","red","green"
"713","red","green","red","red","red"
"714","red","red","green","red","red"
"715","green","green","green","green","red"
"716","red","green","green","green","green"
"717","green","green","red","green","red"
"718","green","green","red","red","green"
"719","red","green","green","green","green"
"720","green","green","green","green","green"
"721","red","green","red","green","red"
"722","green","red","green","green","green"
"723","red","green","red","red","green"
"724","red","red","green","green","green"
"725","red","red","green","red","red"
"726","red","green","green","green","green"
"727","green","green","red","green","green"
"728","red","green","green","green","green"
"729","green","green","green","red","green"
"730","green","green","green","green","green"
"731","green","green","green","green","green"
"732","red","green","green","red","red"
"733","green","red","red","red","red"
"734","green","green","green","green","red"
"735","red","green","green","green","green"
"736","green","green","green","green","green"
"737","red","green","red","green","green"
"738","red","red","green","red","red"
"739","green","green","green","red","red"
"740","green","red","green","green","green"
"741","green","red","green","green","green"
"742","green","red","red","red","red"
"743","red","green","green","green","green"
"744","red","red","green","green","green"
"745","green","green","red","red","red"
"746","red","red","green","green","green"
"747","red","green","red","red","green"
"748","green","green","green","green","red"
"749","red","green","red","red","green"
"750","green","red","red","green","red"
"751","green","green","green","green","red"
"752","green","green","green","green","green"
"753","green","red","green","green","green"
"754","red","green","green","green","green"
"755","green","green","green","green","green"
"756","red","green","green","red","green"
"757","red","red","red","green","red"
"758","red","green","green","green","green"
"759","red","green","green","green","green"
"760","green","green","red","green","red"
"761","green","green","green","green","red"
"762","green","red","red","green","green"
"763","red","red","green","green","green"
"764","red","green","red","red","red"
"765","green","green","red","green","red"
"766","red","red","green","red","green"
"767","red","red","red","green","green"
"768","red","red","green","green","green"
"769","green","green","red","green","red"
"770","green","green","green","green","green"
"771","red","red","red","green","red"
"772","red","red","green","green","green"
"773","red","green","green","green","green"
"774","red","red","green","red","red"
"775","green","green","green","green","green"
"776","green","green","green","green","green"
"777","red","green","green","red","red"
"778","green","red","red","red","red"
"779","red","green","green","green","green"
"780","green","red","green","green","green"
"781","red","red","green","green","red"
"782","red","green","red","red","red"
"783","red","green","green","green","green"
"784","green","green","green","red","green"
"785","green","red","red","red","green"
"786","green","green","red","red","red"
"787","red","green","green","green","green"
"788","green","red","green","green","red"
"789","green","green","green","red","red"
"790","green","red","green","green","red"
"791","green","red","green","green","green"
"792","red","green","green","green","green"
"793","red","green","red","red","green"
"794","green","green","green","green","green"
"795","red","red","green","green","green"
"796","red","green","green","green","green"
"797","green","red","green","red","red"
"798","green","green","green","red","red"
"799","green","green","red","red","green"
"800","red","green","green","red","red"
"801","red","red","green","red","red"
"802","green","green","green","red","red"
"803","red","green","red","green","green"
"804","red","green","red","green","green"
"805","red","red","green","green","green"
"806","red","red","red","red","red"
"807","red","green","red","red","red"
"808","green","green","green","green","green"
"809","green","green","green","red","green"
"810","red","green","red","red","red"
"811","green","green","red","green","green"
"812","red","red","red","red","red"
"813","red","red","green","red","green"
"814","green","red","green","red","green"
"815","red","green","green","green","green"
"816","red","green","green","green","green"
"817","red","red","green","green","green"
"818","red","green","green","green","green"
"819","red","green","green","green","green"
"820","green","green","red","green","green"
"821","green","green","green","green","green"
"822","red","green","green","green","green"
"823","green","red","green","green","green"
"824","green","green","green","green","green"
"825","red","green","green","green","green"
"826","red","green","red","green","green"
"827","green","green","green","red","green"
"828","red","red","red","green","red"
"829","red","red","green","green","red"
"830","green","red","red","red","green"
"831","red","green","green","green","green"
"832","red","red","red","green","green"
"833","red","red","green","green","green"
"834","red","red","red","red","red"
"835","red","green","red","green","green"
"836","green","red","red","red","red"
"837","red","green","red","red","green"
"838","green","green","red","green","green"
"839","red","green","green","red","red"
"840","red","red","red","red","red"
"841","red","red","red","red","red"
"842","red","green","green","green","green"
"843","green","red","red","green","green"
"844","red","green","green","red","red"
"845","red","green","green","green","green"
"846","green","green","green","green","green"
"847","red","green","red","red","red"
"848","red","red","green","green","green"
"849","green","red","red","red","red"
"850","green","green","red","red","red"
"851","green","red","green","green","green"
"852","green","red","red","red","red"
"853","green","green","green","green","green"
"854","green","green","green","red","red"
"855","red","green","green","green","green"
"856","green","green","green","green","green"
"857","green","green","green","green","green"
"858","red","red","red","red","red"
"859","green","green","red","red","red"
"860","green","green","green","red","red"
"861","green","red","red","red","red"
"862","red","green","red","red","red"
"863","red","green","green","red","red"
"864","green","green","green","green","green"
"865","green","red","red","green","green"
"866","red","red","red","red","green"
"867","green","green","green","green","green"
"868","red","green","green","green","green"
"869","red","red","red","red","green"
"870","red","red","red","green","red"
"871","red","red","green","red","red"
"872","green","red","red","red","green"
"873","green","green","red","red","red"
"874","red","red","red","red","red"
"875","red","red","red","green","red"
"876","green","red","red","red","red"
"877","red","green","green","green","green"
"878","red","red","red","red","red"
"879","red","red","red","green","red"
"880","green","green","red","green","red"
"881","red","green","green","green","green"
"882","red","green","red","red","red"
"883","red","green","green","green","red"
"884","green","red","green","green","green"
"885","green","green","green","green","red"
"886","red","green","red","red","red"
"887","green","green","red","red","red"
"888","red","green","red","green","red"
"889","red","red","green","red","green"
"890","red","green","green","green","green"
"891","green","green","red","red","green"
"892","green","green","red","green","green"
"893","green","red","green","red","red"
"894","red","red","green","green","green"
"895","red","red","red","red","red"
"896","red","green","red","red","red"
"897","red","green","green","green","green"
"898","red","red","red","red","red"
"899","green","red","green","red","green"
"900","red","red","green","green","green"
"901","green","red","green","red","green"
"902","green","red","red","red","red"
"903","green","green","green","green","green"
"904","red","red","red","green","green"
"905","green","red","green","red","red"
"906","red","green","red","green","green"
"907","red","green","red","red","red"
"908","green","green","green","green","green"
"909","red","green","red","red","red"
"910","green","red","red","red","red"
"911","red","red","green","green","red"
"912","red","green","green","green","green"
"913","green","red","red","red","red"
"914","green","red","green","green","green"
"915","green","red","green","red","red"
"916","green","red","green","red","red"
"917","red","green","green","green","green"
"918","green","green","red","green","green"
"919","green","red","red","green","red"
"920","green","green","green","green","green"
"921","red","red","red","green","green"
"922","green","red","green","green","green"
"923","red","green","green","green","green"
"924","red","green","green","green","green"
"925","green","green","green","green","green"
"926","green","green","red","red","red"
"927","green","red","red","red","red"
"928","green","red","green","green","green"
"929","red","green","green","green","green"
"930","red","green","green","green","green"
"931","green","green","red","green","green"
"932","green","green","red","green","red"
"933","green","red","red","red","green"
"934","red","green","green","green","green"
"935","green","green","green","red","red"
"936","green","green","red","red","green"
"937","red","green","green","green","green"
"938","green","red","red","red","red"
"939","red","green","green","green","green"
"940","green","green","red","red","red"
"941","red","green","green","green","green"
"942","green","green","green","green","green"
"943","red","green","red","green","green"
"944","red","red","green","green","green"
"945","red","green","green","green","green"
"946","green","green","green","red","green"
"947","green","red","green","red","green"
"948","green","green","green","green","green"
"949","red","green","red","red","green"
"950","red","green","red","green","red"
"951","green","green","green","green","green"
"952","red","red","red","red","red"
"953","green","red","red","red","red"
"954","red","red","red","red","red"
"955","green","green","green","green","green"
"956","green","green","green","green","green"
"957","green","green","red","red","red"
"958","red","green","green","green","red"
"959","green","red","red","red","red"
"960","green","red","green","red","green"
"961","red","green","red","red","red"
"962","green","green","green","red","red"
"963","green","red","green","green","green"
"964","green","green","red","red","green"
"965","green","red","green","green","green"
"966","green","red","red","green","red"
"967","green","green","red","red","red"
"968","green","green","red","red","red"
"969","red","red","red","red","green"
"970","red","red","red","green","green"
"971","green","green","red","red","green"
"972","red","green","green","green","red"
"973","green","green","green","green","green"
"974","green","green","red","red","red"
"975","green","red","green","red","green"
"976","green","red","red","green","red"
"977","red","green","red","red","red"
"978","green","red","red","red","red"
"979","red","green","green","red","green"
"980","red","red","green","red","red"
"981","green","red","red","green","red"
"982","red","green","green","green","green"
"983","red","green","green","green","green"
"984","green","red","green","red","red"
"985","red","green","green","green","green"
"986","green","green","green","red","red"
"987","red","green","green","green","red"
"988","red","red","red","red","green"
"989","green","red","green","red","red"
"990","red","red","red","red","green"
"991","green","red","red","green","green"
"992","red","red","red","red","green"
"993","red","green","green","green","green"
"994","green","green","green","green","green"
"995","red","red","green","red","green"
"996","red","red","red","red","red"
"997","green","green","red","red","red"
