"","t5","t1","t2","t4","t8","t10","t9","t6","t3","t7"
"50","1","1","1","0","1","0","0","1","1","1"
"51","1","1","0","0","0","0","1","0","1","1"
"52","1","0","1","1","0","0","0","1","0","1"
"53","0","1","1","1","1","1","1","1","1","0"
"54","1","1","1","0","1","1","0","1","0","1"
"55","0","1","0","1","1","1","1","1","1","0"
"56","1","1","1","1","1","1","0","1","1","1"
"57","1","1","1","1","1","1","1","1","1","1"
"58","1","1","0","1","1","1","1","1","0","1"
"59","0","0","0","1","1","1","1","0","0","1"
"60","1","1","0","0","0","0","0","0","0","1"
"61","1","1","1","1","0","0","0","1","1","1"
"62","1","1","0","0","1","0","0","1","0","0"
"63","0","0","0","1","0","0","1","0","1","1"
"64","1","0","0","1","1","1","1","0","0","0"
"65","1","1","0","0","1","0","0","0","1","0"
"66","0","0","1","0","0","1","1","0","1","0"
"67","1","1","1","1","0","1","1","1","0","1"
"68","1","1","0","0","0","0","0","0","0","1"
"69","0","1","0","1","0","1","1","1","0","0"
"70","1","0","1","1","1","1","0","1","1","1"
"71","0","1","0","0","0","0","0","0","0","0"
"72","1","0","1","1","1","1","1","1","1","1"
"73","1","0","1","1","0","0","0","0","1","1"
"74","0","0","0","1","1","0","0","1","1","1"
"75","1","1","0","0","1","1","1","1","0","1"
"76","1","1","1","1","0","0","0","1","0","0"
"77","1","1","1","0","0","0","1","1","0","1"
"78","1","1","1","1","0","1","1","1","1","1"
"79","1","1","0","1","0","1","1","1","1","1"
"80","1","1","0","1","0","1","0","1","1","1"
"81","1","0","1","1","1","0","0","0","0","0"
"82","0","0","1","1","1","1","1","1","1","0"
"83","1","1","0","0","1","0","0","0","0","1"
"84","1","0","0","1","1","1","1","1","0","1"
"85","1","0","1","0","0","1","1","1","1","0"
"86","1","0","0","1","1","1","1","1","1","0"
"87","1","0","1","0","0","0","0","0","1","0"
"88","1","0","0","0","0","0","0","1","0","0"
"89","1","0","1","1","1","1","1","0","0","0"
"90","0","1","1","0","0","0","0","1","1","1"
"91","0","0","1","0","1","1","1","0","1","1"
"92","1","0","0","1","1","0","0","0","0","1"
"93","1","1","0","1","0","0","1","1","0","1"
"94","0","0","0","1","1","1","1","1","1","1"
"95","0","0","1","1","1","1","1","1","1","0"
"96","1","0","1","0","1","1","0","1","1","0"
"97","0","1","1","1","1","1","1","1","1","0"
"98","0","1","1","0","0","1","0","0","0","0"
"99","0","1","1","1","1","0","0","1","0","1"
"100","1","1","1","1","0","0","0","0","0","1"
"101","0","0","0","1","0","0","0","1","0","0"
"102","1","1","1","1","0","0","1","1","1","1"
"103","0","0","1","1","1","1","1","0","0","1"
"104","1","1","1","0","1","1","1","0","0","0"
"105","0","1","1","1","1","1","1","1","0","0"
"106","0","0","1","1","1","0","1","1","1","1"
"107","1","0","1","1","1","0","0","0","1","1"
"108","0","0","1","0","1","0","0","0","1","1"
"109","1","1","0","1","1","1","1","1","1","0"
"110","1","0","1","0","1","1","1","0","1","1"
"111","0","0","0","0","0","0","0","0","0","1"
"112","0","0","1","0","1","0","0","1","1","0"
"113","1","1","0","1","1","1","1","1","0","0"
"114","1","0","1","1","0","0","0","0","0","1"
"115","0","0","0","0","0","0","0","0","0","1"
"116","1","1","1","1","1","1","0","1","1","1"
"117","1","0","0","0","0","1","0","1","0","1"
"118","1","0","1","0","0","0","0","0","1","1"
"119","0","1","0","1","0","0","0","1","0","1"
"120","1","1","0","0","1","1","1","0","0","0"
"121","0","0","1","1","1","1","1","0","0","1"
"122","1","1","0","1","0","1","1","1","1","0"
"123","1","1","0","1","0","0","0","0","1","1"
"124","1","0","1","1","1","1","1","1","1","0"
"125","1","1","1","1","1","1","1","0","1","1"
"126","1","1","0","1","1","1","1","1","1","1"
"127","1","1","0","1","1","1","1","1","1","0"
"128","0","0","1","1","0","0","0","0","1","1"
"129","1","1","1","1","1","1","1","1","0","1"
"130","1","1","1","0","0","1","0","0","0","0"
"131","0","1","1","1","0","1","0","1","0","0"
"132","1","1","1","1","0","0","0","0","0","0"
"133","1","1","1","0","0","0","0","1","1","0"
"134","0","0","1","0","0","0","0","1","1","1"
"135","0","0","1","0","1","1","1","1","1","0"
"136","1","1","0","1","0","0","1","1","0","0"
"137","1","1","0","0","0","1","1","0","0","1"
"138","1","1","0","0","1","1","1","1","1","0"
"139","1","1","0","0","1","0","0","0","1","0"
"140","1","0","1","1","1","1","0","0","0","0"
"141","0","1","0","0","0","0","0","0","0","1"
"142","0","1","1","1","1","1","1","0","1","1"
"143","1","0","0","0","1","0","0","0","1","1"
"144","1","0","0","0","0","0","0","0","0","0"
"145","0","1","1","0","1","0","1","1","0","0"
"146","0","0","1","0","1","1","0","1","1","0"
"147","1","0","0","1","1","1","1","1","0","0"
"148","1","1","1","0","0","1","1","1","1","1"
"149","0","0","0","0","1","1","1","0","1","1"
"150","0","1","1","0","0","0","1","0","0","1"
"151","1","1","1","1","1","1","1","1","1","0"
"152","1","0","0","1","1","1","1","1","0","0"
"153","0","0","0","1","1","1","1","1","1","0"
"154","0","1","1","1","1","1","1","1","1","1"
"155","0","0","1","1","1","0","0","0","0","1"
"156","0","0","1","1","0","0","0","1","1","1"
"157","1","1","1","1","1","1","1","1","1","1"
"158","1","1","0","1","1","0","0","1","0","1"
"159","1","1","0","0","0","0","0","0","0","0"
"160","1","1","1","0","1","0","1","0","1","0"
"161","0","0","1","0","0","1","0","1","1","0"
"162","1","1","0","0","0","1","1","1","0","0"
"163","0","0","1","0","0","0","0","1","1","1"
"164","0","0","1","1","1","1","1","1","1","0"
"165","0","0","0","1","0","0","0","1","0","1"
"166","0","0","0","1","0","1","0","0","0","0"
"167","0","0","1","1","0","1","1","1","0","1"
"168","1","1","1","1","1","1","1","1","0","0"
"169","0","0","0","0","0","0","0","0","1","1"
"170","1","0","1","1","1","1","1","1","1","1"
"171","0","0","1","0","0","0","1","0","0","1"
"172","0","0","0","0","0","0","0","0","0","1"
"173","1","0","1","1","1","0","1","0","1","0"
"174","1","1","1","1","0","1","1","1","1","1"
"175","0","1","1","1","1","1","1","0","1","1"
"176","0","1","0","1","1","1","0","1","1","1"
"177","0","1","0","1","0","1","0","1","1","0"
"178","1","1","0","0","1","1","1","1","0","0"
"179","1","1","1","0","1","0","0","1","0","1"
"180","0","1","0","0","1","1","1","0","1","1"
"181","1","0","1","1","0","0","0","1","1","1"
"182","0","1","0","0","0","0","0","0","1","1"
"183","1","1","0","0","0","1","0","1","1","1"
"184","1","1","1","0","1","1","1","1","1","1"
"185","0","1","1","0","1","0","0","0","1","1"
"186","0","0","1","1","1","1","1","0","1","0"
"187","0","0","1","0","0","1","1","1","0","1"
"188","0","0","1","0","0","0","1","1","1","1"
"189","1","1","1","1","0","0","0","1","1","1"
"190","1","0","0","0","0","1","0","0","0","1"
"191","1","1","1","1","1","1","1","1","1","0"
"192","1","0","1","1","0","0","0","1","0","1"
"193","1","1","1","1","1","1","1","1","1","1"
"194","1","1","1","1","0","1","1","0","0","0"
"195","0","0","1","0","1","1","1","0","1","1"
"196","1","1","0","0","1","0","0","1","1","0"
"197","0","0","0","1","1","1","1","1","1","1"
"198","0","1","0","1","1","1","1","1","1","1"
"199","1","1","1","1","0","1","1","1","1","0"
"200","1","0","1","0","0","1","0","1","1","0"
"201","0","1","1","0","0","0","0","0","1","1"
"202","0","1","0","0","1","1","1","1","0","1"
"203","0","0","0","0","1","1","1","1","1","1"
"204","0","0","1","0","1","0","0","1","0","0"
"205","0","0","1","1","1","0","1","1","1","1"
"206","0","0","0","1","1","0","0","1","0","1"
"207","0","1","0","1","1","1","1","1","0","0"
"208","0","1","1","1","1","1","1","1","1","1"
"209","1","0","1","1","1","1","0","0","0","1"
"210","1","0","0","1","0","0","0","0","0","0"
"211","1","1","1","1","1","1","1","1","1","0"
"212","1","1","0","1","1","1","1","0","1","0"
"213","1","1","1","0","0","0","0","0","1","1"
"214","1","1","1","1","1","1","1","1","1","1"
"215","1","0","0","0","0","0","0","0","0","1"
"216","1","1","0","0","0","0","0","1","1","0"
"217","1","1","1","0","1","1","0","1","1","1"
"218","0","0","0","1","1","0","0","0","0","1"
"219","1","1","1","1","1","1","1","1","1","0"
"220","0","0","1","0","0","0","0","1","1","1"
"221","0","0","1","0","0","1","0","0","0","1"
"222","1","1","1","1","0","0","0","1","0","0"
"223","1","1","1","1","1","1","1","1","1","0"
"224","1","0","1","1","1","1","1","1","1","1"
"225","1","1","1","1","1","1","1","1","1","1"
"226","0","1","0","0","0","0","0","0","0","0"
"227","0","1","0","1","1","1","1","1","1","0"
"228","1","1","1","0","0","0","0","1","0","0"
"229","1","1","1","0","1","1","1","1","1","1"
"230","0","0","1","0","0","0","0","1","1","1"
"231","0","0","1","0","1","1","1","1","1","0"
"232","0","1","1","0","1","0","0","0","0","1"
"233","1","1","0","1","1","1","1","1","1","0"
"234","1","1","1","1","0","0","1","0","0","0"
"235","0","0","1","1","1","0","0","0","0","0"
"236","0","0","1","0","0","0","0","1","0","1"
"237","0","1","0","0","1","1","1","0","0","1"
"238","1","1","1","1","1","1","1","1","1","1"
"239","1","1","1","1","1","1","1","1","1","0"
"240","0","0","0","0","0","0","0","1","0","1"
"241","1","1","1","1","1","1","1","1","1","1"
"242","1","1","1","0","1","1","1","1","0","0"
"243","0","0","1","1","0","1","1","1","1","1"
"244","1","1","0","1","1","0","0","1","0","1"
"245","0","0","1","0","0","0","1","0","1","1"
"246","1","1","1","0","0","1","1","1","0","0"
"247","0","0","0","0","1","0","0","1","0","1"
"248","0","0","1","1","0","1","0","0","0","0"
"249","0","1","0","1","0","0","0","0","1","1"
"250","1","1","1","0","0","0","0","0","0","0"
"251","1","1","1","1","0","0","0","0","1","0"
"252","1","1","1","1","1","1","1","0","1","0"
"253","0","1","0","0","0","0","1","0","0","0"
"254","1","1","1","1","1","1","1","1","1","1"
"255","1","1","1","1","1","1","1","1","1","0"
"256","0","1","0","1","0","0","0","1","0","1"
"257","0","0","1","1","1","1","1","1","0","1"
"258","0","1","0","0","1","0","0","0","0","1"
"259","1","1","0","0","0","0","0","0","0","1"
"260","1","0","0","0","1","0","1","0","1","1"
"261","0","0","0","1","0","0","0","1","1","1"
"262","1","1","1","0","0","0","0","1","0","0"
"263","0","0","1","1","1","1","1","1","1","1"
"264","1","0","1","1","1","1","1","1","1","0"
"265","1","1","0","0","0","0","0","0","0","0"
"266","0","1","1","0","1","0","0","1","0","0"
"267","0","0","0","1","1","0","0","1","1","0"
"268","0","1","1","0","1","1","0","1","0","1"
"269","0","0","0","1","1","0","0","0","1","0"
"270","1","1","1","0","1","1","1","1","1","1"
"271","0","1","0","1","1","1","1","1","1","0"
"272","0","0","1","0","1","0","0","1","1","1"
"273","1","0","0","0","0","1","1","0","0","1"
"274","1","1","1","0","1","1","0","0","1","0"
"275","1","1","1","0","0","0","0","0","0","1"
"276","0","0","0","0","1","0","0","0","0","0"
"277","0","0","0","1","0","1","1","0","0","1"
"278","1","0","0","1","1","1","1","1","0","0"
"279","1","1","0","1","0","0","0","0","1","1"
"280","1","0","0","0","0","0","0","0","0","1"
"281","0","0","1","0","1","1","1","1","1","1"
"282","0","0","1","1","0","0","0","1","0","1"
"283","0","0","0","1","0","0","0","1","1","1"
"284","0","0","1","1","1","1","1","1","1","1"
"285","0","0","0","0","0","1","1","0","0","1"
"286","0","0","1","1","1","1","1","1","1","1"
"287","1","1","1","1","1","1","1","1","1","1"
"288","0","0","0","0","1","1","1","1","1","0"
"289","0","0","1","1","0","0","0","1","1","0"
"290","0","1","1","0","1","1","1","1","0","1"
"291","0","1","0","0","0","0","0","1","0","1"
"292","0","0","0","0","0","1","1","0","0","0"
"293","0","0","0","1","1","1","1","1","0","1"
"294","0","0","1","0","0","0","0","1","1","0"
"295","0","0","0","0","1","1","1","1","1","0"
"296","0","0","0","1","0","0","0","1","1","0"
"297","1","1","1","0","0","0","1","0","0","1"
"298","1","1","0","0","0","1","1","0","0","0"
"299","0","0","1","1","0","0","0","1","1","0"
"300","0","0","0","1","1","1","0","1","1","1"
"301","1","1","1","1","1","1","1","1","1","1"
"302","1","0","1","1","1","1","1","0","1","1"
"303","1","1","1","1","1","1","1","0","0","0"
"304","1","1","1","1","1","0","0","1","1","0"
"305","1","1","0","1","1","1","1","0","1","1"
"306","0","0","1","1","1","1","1","1","1","0"
"307","1","1","1","1","1","0","0","1","0","1"
"308","0","0","0","0","1","0","0","1","1","0"
"309","1","1","0","0","1","1","1","1","1","0"
"310","1","1","1","1","1","1","0","1","1","0"
"311","1","1","1","0","1","0","1","1","1","0"
"312","1","1","0","0","1","1","1","0","0","0"
"313","1","1","0","0","0","0","0","0","1","0"
"314","1","1","1","1","1","1","1","1","1","1"
"315","0","0","0","0","1","1","1","0","0","0"
"316","1","0","1","0","1","1","1","0","0","0"
"317","0","0","0","1","0","0","0","0","0","1"
"318","0","1","0","1","0","0","0","0","0","1"
"319","0","0","0","0","1","0","1","1","0","1"
"320","0","1","0","0","1","0","0","1","0","1"
"321","0","0","1","0","0","1","1","0","0","1"
"322","1","1","0","0","1","0","0","0","0","0"
"323","1","1","1","1","0","1","1","1","0","1"
"324","0","0","0","1","1","1","1","1","1","1"
"325","1","1","1","0","1","0","0","1","0","0"
"326","0","0","1","0","0","0","0","1","1","0"
"327","1","1","0","0","0","0","0","0","0","1"
"328","1","0","1","0","0","0","0","0","0","1"
"329","1","0","0","0","1","0","0","0","0","1"
"330","1","1","0","0","0","0","0","0","0","1"
"331","0","0","1","0","1","1","0","1","1","0"
"332","1","1","1","1","0","0","0","0","1","0"
"333","1","1","1","0","0","0","0","0","1","0"
"334","1","1","0","1","0","0","0","1","0","1"
"335","0","0","0","1","1","1","1","0","1","1"
"336","1","1","0","1","1","1","0","0","0","1"
"337","0","0","1","0","1","1","1","1","1","0"
"338","0","0","1","0","1","1","1","0","0","1"
"339","1","1","1","1","0","0","0","0","0","1"
"340","0","0","1","1","1","0","0","1","1","1"
"341","0","0","1","1","1","0","0","1","0","0"
"342","1","0","0","1","0","0","0","0","1","1"
"343","0","0","0","1","0","0","1","1","1","0"
"344","1","1","1","1","1","0","1","1","1","1"
"345","1","0","1","0","1","1","1","0","0","1"
"346","0","0","1","0","1","0","0","1","1","0"
"347","1","0","1","1","0","0","0","1","1","1"
"348","0","0","1","1","0","0","0","0","1","0"
"349","0","1","1","1","1","0","1","0","0","0"
"350","0","1","0","0","0","0","0","1","1","1"
"351","1","1","1","1","0","1","0","1","0","1"
"352","0","0","0","0","0","0","0","0","0","0"
"353","0","0","0","0","1","1","1","0","1","1"
"354","1","1","1","1","0","1","0","1","1","1"
"355","1","0","0","0","1","1","1","0","1","1"
"356","1","1","0","1","1","0","1","0","0","0"
"357","1","0","0","1","0","1","0","0","1","1"
"358","0","0","1","1","1","1","1","1","1","1"
"359","1","1","0","0","0","1","1","1","1","1"
"360","0","0","1","1","1","0","1","0","0","0"
"361","1","0","1","0","1","0","1","1","1","0"
"362","0","0","0","1","0","0","0","1","1","0"
"363","0","0","1","1","1","1","1","1","1","1"
"364","1","1","1","1","1","1","1","1","1","0"
"365","1","1","1","1","0","1","1","1","1","1"
"366","1","1","1","0","0","1","0","1","1","0"
"367","0","0","1","0","0","0","0","1","0","1"
"368","1","1","0","0","0","0","0","1","1","0"
"369","1","1","1","0","1","1","1","1","1","1"
"370","1","1","1","1","1","1","1","1","1","1"
"371","1","1","0","1","0","1","1","1","1","0"
"372","1","0","1","0","1","0","0","1","1","1"
"373","0","0","1","1","1","1","0","1","1","0"
"374","1","1","1","0","0","1","1","0","0","1"
"375","1","1","0","0","1","1","1","1","1","1"
"376","1","1","1","1","0","0","0","0","1","1"
"377","1","1","1","0","1","1","0","0","1","0"
"378","1","0","1","0","0","0","0","1","0","0"
"379","0","1","1","1","1","1","1","0","0","1"
"380","0","0","1","0","0","0","0","1","1","1"
"381","1","1","0","1","1","1","1","0","0","0"
"382","1","1","1","0","0","0","0","0","1","1"
"383","0","0","1","1","1","1","1","1","1","0"
"384","0","0","0","0","0","1","1","0","1","0"
"385","0","0","1","1","1","1","1","1","0","1"
"386","0","1","1","0","1","1","1","1","0","0"
"387","0","0","1","1","0","1","1","1","1","1"
"388","1","1","1","1","1","1","1","1","0","1"
"389","0","1","1","1","1","1","0","0","0","1"
"390","1","1","1","1","1","1","1","1","1","1"
"391","0","1","1","1","1","0","0","1","0","0"
"392","0","1","0","0","0","0","0","0","0","0"
"393","0","0","0","1","0","0","0","0","0","1"
"394","0","1","0","1","1","1","1","0","0","0"
"395","0","0","0","0","0","0","0","0","1","1"
"396","0","1","0","0","0","0","1","0","0","1"
"397","1","0","0","1","1","1","1","1","1","1"
"398","1","1","0","0","1","0","0","0","0","0"
"399","0","1","0","1","1","1","1","1","1","0"
"400","0","0","1","0","1","0","0","0","1","0"
"401","1","1","1","0","1","1","1","0","0","0"
"402","0","0","0","1","0","1","1","0","1","0"
"403","1","1","0","0","1","0","0","1","0","1"
"404","0","0","1","1","1","0","1","1","1","1"
"405","0","1","1","0","0","1","1","1","0","1"
"406","1","1","0","1","0","1","1","0","0","0"
"407","0","1","0","1","0","1","1","1","1","1"
"408","0","0","0","0","1","0","0","0","1","1"
"409","1","1","0","1","1","0","0","1","0","0"
"410","1","1","0","1","1","0","1","1","1","1"
"411","1","1","1","1","1","1","1","0","0","0"
"412","1","1","1","1","1","1","1","1","1","0"
"413","0","0","1","0","0","0","0","0","1","1"
"414","1","1","0","0","0","0","0","1","0","1"
"415","0","0","0","0","1","1","1","0","0","0"
"416","1","1","1","1","0","0","1","1","0","0"
"417","0","0","1","1","0","0","0","1","0","1"
"418","1","0","1","0","1","0","0","1","1","1"
"419","0","1","0","0","0","0","0","1","1","0"
"420","1","0","1","1","1","1","1","1","1","1"
"421","0","0","1","1","0","1","0","0","1","0"
"422","1","1","0","0","1","1","1","0","0","0"
"423","1","1","1","1","1","1","1","1","1","1"
"424","1","0","1","1","0","0","1","0","0","0"
"425","1","1","1","1","1","1","0","0","1","1"
"426","0","0","0","0","0","0","0","0","1","0"
"427","0","1","0","1","1","1","1","0","0","1"
"428","0","1","1","1","0","0","0","0","1","1"
"429","1","0","0","1","1","0","0","1","1","1"
"430","1","1","0","1","0","0","0","0","0","1"
"431","1","1","1","0","1","1","1","1","1","0"
"432","0","0","1","0","0","0","0","1","1","0"
"433","1","1","0","1","1","0","0","1","1","1"
"434","1","1","1","1","1","1","1","1","1","1"
"435","0","1","1","0","1","1","1","0","0","0"
"436","0","0","1","1","1","0","0","1","1","1"
"437","1","1","0","0","0","0","0","0","0","1"
"438","1","1","1","1","0","0","0","1","0","1"
"439","0","0","0","0","0","0","0","0","1","1"
"440","1","0","1","0","1","1","0","1","0","0"
"441","0","0","0","1","0","1","1","1","1","1"
"442","0","0","1","0","0","0","0","1","0","1"
"443","1","1","0","1","1","1","1","0","0","1"
"444","0","1","1","0","0","0","0","1","1","1"
"445","1","1","1","0","1","1","1","0","0","0"
"446","1","1","0","0","0","0","0","0","0","0"
"447","0","0","1","1","1","0","1","1","1","1"
"448","0","0","1","1","1","1","1","1","0","0"
"449","1","0","1","0","1","1","1","1","1","1"
"450","1","1","1","1","1","0","0","0","1","1"
"451","0","1","0","1","1","0","0","0","1","0"
"452","0","1","1","1","1","0","0","0","0","1"
"453","0","1","1","0","0","0","0","0","1","1"
"454","0","1","0","0","1","0","0","1","0","1"
"455","1","1","1","0","0","1","1","0","0","1"
"456","0","0","1","0","1","1","1","1","0","0"
"457","0","0","1","1","1","0","0","1","1","0"
"458","0","0","0","1","0","0","1","0","0","1"
"459","1","1","0","1","0","1","1","0","1","0"
"460","1","0","0","0","0","0","0","0","0","1"
"461","0","0","0","0","0","0","0","0","1","1"
"462","1","1","0","0","0","1","0","1","0","1"
"463","1","1","1","0","0","0","0","0","0","0"
"464","0","0","1","1","0","0","1","0","0","0"
"465","1","1","1","1","1","1","1","1","1","1"
"466","0","1","0","0","0","1","1","0","0","1"
"467","0","0","1","1","1","1","1","1","1","1"
"468","0","0","1","1","0","0","1","1","0","1"
"469","1","1","1","1","1","1","1","1","1","0"
"470","1","1","1","1","1","1","1","1","1","0"
"471","1","1","0","0","1","1","1","0","1","0"
"472","1","1","1","1","1","1","1","1","1","0"
"473","0","0","0","1","0","0","0","0","1","0"
"474","0","1","1","1","1","1","1","1","1","1"
"475","1","0","0","1","1","1","1","1","1","1"
"476","0","0","1","1","1","1","1","1","1","1"
"477","1","1","1","0","0","0","0","0","0","1"
"478","1","1","0","1","0","0","0","1","1","1"
"479","1","1","1","0","1","1","1","1","0","1"
"480","1","0","0","1","1","1","1","1","1","0"
"481","0","0","0","1","0","0","0","1","1","1"
"482","1","0","0","1","1","0","1","1","0","1"
"483","0","1","0","0","0","0","0","0","0","1"
"484","0","0","1","0","1","0","0","0","1","1"
"485","0","1","0","1","1","1","1","1","1","1"
"486","1","0","1","0","0","0","0","0","0","1"
"487","0","1","0","0","1","1","1","1","0","1"
"488","1","1","1","0","1","1","1","1","1","1"
"489","0","0","1","1","1","1","1","0","0","1"
"490","1","1","1","1","1","0","0","1","1","1"
"491","1","1","0","0","1","1","0","1","0","0"
"492","1","0","1","0","0","1","1","0","1","1"
"493","0","0","1","1","1","1","1","0","0","0"
"494","1","1","1","0","1","0","0","1","0","0"
"495","1","1","1","0","0","1","1","0","1","0"
"496","1","0","1","1","0","1","1","1","1","1"
"497","0","0","1","1","0","0","0","0","0","1"
"498","0","1","0","0","0","0","0","1","0","0"
"499","1","1","0","1","1","1","1","0","1","0"
"500","1","1","0","1","1","1","1","1","0","0"
"501","0","0","0","1","1","1","1","1","0","0"
"502","0","0","1","1","1","1","1","1","1","0"
"503","0","0","1","1","0","1","1","1","0","1"
"504","0","0","0","1","1","1","1","1","1","0"
"505","0","0","0","0","0","1","1","1","1","0"
"506","0","1","1","0","0","0","0","1","1","0"
"507","0","0","0","1","1","1","1","1","0","0"
"508","0","0","0","1","1","1","1","1","1","0"
"509","1","1","0","0","0","1","1","0","1","1"
"510","1","1","0","0","0","0","0","0","0","1"
"511","0","1","0","0","0","0","0","1","0","0"
"512","0","0","1","0","1","1","1","0","0","0"
"513","0","0","1","0","0","1","1","1","1","1"
"514","0","0","1","1","1","1","1","0","0","0"
"515","1","1","0","1","1","0","1","1","0","1"
"516","0","1","1","0","0","0","1","1","1","0"
"517","0","0","1","0","1","1","1","0","0","1"
"518","0","1","1","1","1","1","0","1","0","0"
"519","1","1","0","0","1","0","1","0","1","1"
"520","1","1","0","0","1","1","1","0","0","0"
"521","0","0","1","0","1","0","0","1","0","1"
"522","0","1","0","0","1","1","1","1","1","0"
"523","0","0","1","1","1","1","1","0","0","1"
"524","0","1","1","0","0","0","1","1","1","0"
"525","0","1","0","1","0","0","0","0","0","0"
"526","0","1","0","0","0","0","0","1","0","1"
"527","1","0","0","1","0","1","0","0","0","1"
"528","1","1","1","0","1","1","1","1","0","0"
"529","0","0","0","0","1","0","0","1","0","0"
"530","1","1","0","0","0","0","0","1","1","0"
"531","1","0","0","0","0","0","0","1","1","1"
"532","0","0","0","0","0","1","1","1","0","0"
"533","1","1","1","0","1","1","1","0","0","1"
"534","0","1","1","0","0","1","0","1","0","1"
"535","0","0","0","0","0","1","1","0","1","1"
"536","0","1","0","0","0","0","0","1","1","1"
"537","1","1","1","0","0","0","0","0","1","1"
"538","1","1","0","0","0","1","1","1","1","0"
"539","0","0","0","0","0","0","0","0","1","0"
"540","0","0","1","1","1","0","0","0","1","0"
"541","0","0","0","0","1","1","1","0","1","1"
"542","1","1","0","0","0","1","0","1","1","1"
"543","0","0","1","1","1","0","1","0","0","1"
"544","1","1","1","1","1","1","1","1","1","0"
"545","1","0","0","0","0","0","0","0","0","0"
"546","0","0","1","1","1","0","0","0","1","1"
"547","1","1","1","1","1","0","0","1","1","1"
"548","1","1","1","1","0","1","1","1","1","1"
"549","1","0","1","0","1","0","1","0","0","1"
"550","1","1","1","0","0","1","1","1","1","0"
"551","1","0","1","1","1","1","1","0","0","1"
"552","1","1","1","0","1","1","1","1","0","0"
"553","0","1","0","1","1","1","1","1","0","0"
"554","1","0","1","1","1","1","1","0","0","0"
"555","1","0","1","1","0","1","1","1","1","1"
"556","1","1","1","1","1","1","1","1","1","0"
"557","1","1","1","0","1","0","0","1","1","0"
"558","0","0","1","0","0","0","0","0","1","0"
"559","1","1","1","0","0","0","1","1","0","0"
"560","0","0","1","1","1","1","1","1","1","0"
"561","0","1","0","1","1","0","1","1","1","0"
"562","0","1","0","0","1","1","0","0","0","0"
"563","1","1","1","1","0","0","0","1","1","1"
"564","0","1","1","0","0","1","1","1","1","0"
"565","1","0","1","0","0","0","0","0","0","1"
"566","1","1","0","0","1","0","0","1","1","0"
"567","1","1","0","1","1","1","1","1","1","1"
"568","1","1","1","1","1","1","1","0","1","1"
"569","1","0","1","1","1","1","1","1","1","0"
"570","0","0","1","1","0","1","0","0","0","1"
"571","1","0","0","1","0","0","0","0","0","1"
"572","0","0","0","0","1","0","1","0","0","1"
"573","1","0","0","1","0","0","0","0","1","1"
"574","1","1","1","1","1","1","1","1","1","1"
"575","0","0","1","1","1","1","1","1","1","1"
"576","1","1","0","1","1","1","1","1","1","1"
"577","1","0","1","0","0","0","0","0","0","1"
"578","0","0","0","0","1","0","0","1","1","0"
"579","1","1","0","0","0","1","1","1","0","1"
"580","1","1","1","0","1","1","1","0","0","0"
